Last TD,New Entry
Stratolaunch (Achieving Hypersonic Similitude),Yes
AgRPA (Data Fusion and AI for Plant Protection),No
AgReliant Genetics (Customer Segmentation & Prediction),No
Allison Transmission (Clustering Vehicles Based on their Usage Metrics),No
American Mathematical Society (AMS Database Migration and Application),No
Aromarc Therapeutics (Generative Modeling of Drug Action on Systems),No
AstraZeneca (Application Development),No
BASF (Forecasting Analogue Years for Corn & Soybeans),No
BASF (Market Indicators for Trend Identification),No
BASF (Miticides Use Pattern Analytics ),No
BASF (Wine Varietals Forecast),No
Beck's Hybrids (Seed Quality & Germination),No
CTB (Data Modeling),No
Caterpillar (LLM-Powered Data Dashboard),No
Concrete Engine (High Performance Computing to Unleash the AI Potentials),No
Cook Medical (Clinical Study Meta-Data Monitoring),No
Corteva (Climate Change Impact on Crop Yield),No
Delta Faucet (Projecting Future Product Contacts and Defects),No
Elevance Health (Detection of Digital Fraud),No
Elevance Health (Security Use Cases Surrounding Abnormalities and Outliers),No
Evonik (Automation of Material Construction Matrices),No
HUMN Capital (Business Intelligence),No
Inari (Simulation and Optimization for Crop Improvement),No
John Deere (Field Boundary),No
John Deere (Parts Demand Forecasting),No
Knudsen Institute (Training LLMs within Manufacturing),No
MISO (Data-Driven Solutions for the Reliable Operation of the Changing Electric Grid),No
NIIMBL (Simulated Manufacturing),No
Purdue Athletics (Ticketing),No
Raytheon (RTX) (Smart RF Signal Classification),No
Sandia (Flight) (Trajectory Prediction),No
UNDECIDED,No
Undecided,No
Wabash (E-Commerce Website Analytics & Support),No
